Universidad;Título;Tipo de universidad;Nota de corte 2019/2020;Nota media de admisión 2019/2020;Ofertas de plazas curso 2019/2020;Créditos necesarios;Precio del crédito 2019/2020
Universidad de A Coruña;Grado en Enfermería;Pública / Adscrito;10.57;11.15;60;240;
Universidad de Murcia;Grado en Enfermería;Pública / Propio;10.57;11.14;216;240;16,78 €
Universidad Autónoma de Barcelona;Grado en Biología Ambiental;Pública / Propio;10.57;11.41;60;240;35,77 €
Universidad de Almería;Grado en Enfermería;Pública / Propio;10.57;10.59;130;240;12,62 €
Universidad de Córdoba;Grado en Traducción e Interpretación;Pública / Propio;10.57;10.5;95;240;12,62 €
Universidad Carlos III de Madrid;Grado en Administración de Empresas// Bachelor in Business Administration;Pública / Propio;10.56;10.55;50;240;21,39 €
Universidad de Zaragoza;Grado en Veterinaria;Pública / Propio;10.56;11.43;146;300;23,39 €
Universidad de Valladolid;Grado en Enfermería;Pública / Propio;10.56;10.92;130;240;21,01 €
Universidad Carlos III de Madrid;Grado en Finanzas y Contabilidad/ Bachelor in Finance and Accounting;Pública / Propio;10.55;11.09;100;240;21,39 €
Universidad de Sevilla;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;10.54;10.99;120;240;12,62 €
Universidad de Alcalá;Grado en Enfermería;Pública / Propio;10.53;10.44;75;240;26,14 €
Universidad de Extremadura;Grado en Bioquímica;Pública / Propio;10.53;11.36;40;240;15,70 €
Universidad Rey Juan Carlos;Grado en Diseño Integral y Gestión de la Imagen;Pública / Propio;10.53;10.15;30;240;21,39 €
Universidad de Cádiz;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;10.53;10.85;75;240;12,62 €
Universidad de Jaén;Grado en Enfermería;Pública / Propio;10.52;10.74;140;240;12,62 €
Universidad de Sevilla;Grado en Enfermería;Pública / Adscrito;10.52;10.18;75;240;
Universidad Pablo de Olavide;Grado en Nutrición Humana y Dietética;Pública / Propio;10.51;10.67;60;240;12,62 €
Universidad de Santiago de Compostela;Grado en Veterinaria;Pública / Propio;10.51;10.94;110;300;13,93 €
Universidad Rey Juan Carlos;Grado en Relaciones Internacionales;Pública / Propio;10.5;11.55;70;240;21,39 €
Universidad Jaume I de Castellón;Grado en Matemática Computacional;Pública / Propio;10.5;10.67;30;240;20,27 €
Universitat Politècnica de València;Grado en Ingeniería en Diseño Industrial y Desarrollo de Productos;Pública / Propio;10.5;11.31;140;240;20,27 €
Universidad Rey Juan Carlos;Grado en Farmacia;Pública / Propio;10.5;-;40;300;26,14 €
Universidad de Granada;Grado en Criminología;Pública / Propio;10.5;11.23;75;240;12,62 €
Universidad de Las Palmas de Gran Canaria;Grado en Fisioterapia;Pública / Propio;10.49;11.47;75;240;14,59 €
Universidad Politécnica de Madrid;Grado en Ingeniería Electrónica Industrial y Automática;Pública / Propio;10.49;11.03;110;240;24,55 €
Universidad de Oviedo;Grado en Física;Pública / Propio;10.48;n/d;58;240;12,30 €
Universidad Pompeu Fabra;Grado en Economía;Pública / Propio;10.46;11.25;170;240;25,27 €
Universidad Autónoma de Madrid;Grado en Enfermería;Pública / Adscrito;10.46;10.44;75;240;
Universidad de Granada;Grado en Traducción e Interpretación;Pública / Propio;10.46;n/d;242;240;12,62 €
Universidad Jaume I de Castellón;Grado en Traducción e Interpretación;Pública / Propio;10.46;11.19;95;240;14,96 €
Universidad de Alcalá;Grado en Farmacia;Pública / Propio;10.46;10.85;150;300;26,14 €
Universidad Rey Juan Carlos;Grado en Criminología;Pública / Propio;10.46;10.89;55;240;24,55 €
Universidad Rey Juan Carlos;Grado en Ingeniería Aeroespacial en Transporte y Aeropuertos;Pública / Propio;10.44;-;30;240;24,55 €
Universidad Pablo de Olavide;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;10.43;10.93;140;240;12,62 €
Universidad Autónoma de Madrid;Grado en Biología;Pública / Propio;10.42;11.16;280;240;26,14 €
Universidad Politécnica de Madrid;Grado en Gestión y Operaciones del Transporte Aéreo;Pública / Propio;10.4;n/d;40;240;24,55 €
Universidad de Zaragoza;Grado en Enfermería;Pública / Adscrito;10.4;10.75;54;240;
Universidad Carlos III de Madrid;Grado en Derecho;Pública / Propio;10.39;11.52;190;240;21,39 €
Universidad Autónoma de Barcelona;Grado en Comunicación Audiovisual;Pública / Propio;10.38;10.64;80;240;35,77 €
Universidad Autónoma de Madrid;Grado en Química;Pública / Propio;10.38;10.97;125;240;26,14 €
Universitat de València (Estudi General);Grado en Comunicación Audiovisual;Pública / Propio;10.37;10.72;80;240;14,96 €
Universidad Autónoma de Madrid;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;10.35;10.8;90;240;26,14 €
Universidad de Huelva;Grado en Enfermería;Pública / Propio;10.34;10.29;130;240;12,62 €
Universidad Carlos III de Madrid;Grado en Periodismo/ Bachelor in Journalism;Pública / Propio;10.34;11.28;105;240;21,39 €
Universidad de Burgos;Grado en Enfermería;Pública / Propio;10.34;10.73;60;240;21,01 €
Universidad de Extremadura;Grado en Enfermería;Pública / Propio;10.34;10.98;80;240;18,51 €
Universidad de Almería;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;10.33;10.79;75;240;12,62 €
Universidad Rey Juan Carlos;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;10.33;10.37;45;240;26,14 €
Universidad de Córdoba;Grado en Física;Pública / Propio;10.33;10.89;80;240;12,62 €
Universidad de Santiago de Compostela;Grado en Comunicación Audiovisual;Pública / Propio;10.32;10.68;50;240;9,85 €
Universidad de Almería;Grado en Fisioterapia;Pública / Propio;10.32;10.7;65;240;12,62 €
Universidad Miguel Hernández de Elche;Grado en Fisioterapia;Pública / Propio;10.32;10.53;125;240;21,16 €
Universidad Carlos III de Madrid;Grado en Gestión de la Información y Contenidos Digitales;Pública / Propio;10.31;10.83;40;240;21,39 €
Universidad de Vic- Universidad Central de Catalunya;Grado en Medicina;Privada / Propio;10.3;-;80;360;
Universidad de Castilla- La Mancha;Grado en Enfermería;Pública / Propio;10.3;11.3;125;240;18,87 €
Universidad de León;Grado en Enfermería;Pública / Propio;10.29;10.59;100;240;21,01 €
Universidad de Málaga;Grado en Enfermería;Pública / Adscrito;10.28;10.03;65;240;
Universidad Rey Juan Carlos;Grado en Criminología;Pública / Propio;10.28;10.58;55;240;24,55 €
Universidad Complutense de Madrid;Grado en Biología;Pública / Propio;10.27;10.54;300;240;26,14 €
Universidad de Vigo;Grado en Ingeniería Aeroespacial;Pública / Propio;10.26;11.82;50;240;13,93 €
Universidad Miguel Hernández de Elche;Grado en Farmacia;Pública / Propio;10.26;10.76;125;300;21,16 €
Universitat de València (Estudi General);Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;10.25;10.33;200;240;16,41 €
Universidad Carlos III de Madrid;Grado en Ingeniería Informática;Pública / Propio;10.24;11.01;180;240;24,55 €
Universidad de Alcalá;Grado en Lenguas Modernas y Traducción;Pública / Propio;10.24;10.57;50;240;21,39 €
Universidad de Sevilla;Grado en Criminología;Pública / Propio;10.24;11.24;62;240;12,62 €
Universidad de Cádiz;Grado en Matemáticas;Pública / Propio;10.24;10.35;55;240;12,62 €
Universidad Complutense de Madrid;Grado en Publicidad y Relaciones Públicas;Pública / Propio;10.22;10.99;191;240;21,39 €
Universidad de Valladolid;Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto;Pública / Propio;10.22;10.62;50;240;21,01 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Ingeniería en Automoción;Pública / Propio;10.21;11.37;40;240;19,19 €
Universidad Carlos III de Madrid;Grado en Ingeniería Mecánica/Bachelor's degree in Mechanical Engineering;Pública / Propio;10.2;10.72;175;240;24,55 €
Universitat Politècnica de València;Grado en Ingeniería en Tecnologías Industriales;Pública / Propio;10.2;11.97;275;240;20,27 €
Universidad Complutense de Madrid;Grado en Comunicación Audiovisual;Pública / Propio;10.19;10.5;191;240;21,39 €
Universidad Rey Juan Carlos;Grado en Diseño y Gestión de Moda;Pública / Propio;10.19;10.77;50;240;21,39 €
Universidad Autónoma de Barcelona;Grado en Nanociencia y Nanotecnología;Pública / Propio;10.18;11.28;65;240;35,77 €
Universidad de Santiago de Compostela;Grado en Periodismo;Pública / Propio;10.17;11;75;240;9,85 €
Universidad Rey Juan Carlos;Grado en Diseño Integral y Gestión de la Imagen;Pública / Propio;10.16;9.88;25;240;21,39 €
Universidad Miguel Hernández de Elche;Grado en Ciencias Políticas y Gestión Pública;Pública / Propio;10.14;7.72;50;240;14,96 €
Universidad de Barcelona;Grado en Biotecnología;Pública / Propio;10.13;12.15;80;240;35,77 €
Universidad Autónoma de Madrid;Grado en Enfermería;Pública / Adscrito;10.11;10.05;80;240;
Universidad Complutense de Madrid;Grado en Nutrición Humana y Dietética;Pública / Propio;10.1;10.6;75;240;26,14 €
Universidad de Cádiz;Grado en Enfermería;Pública / Propio;10.1;9.95;85;240;12,62 €
Universidad Autónoma de Barcelona;Grado en Periodismo;Pública / Propio;10.09;10.67;160;240;35,77 €
Universidad Politécnica de Catalunya;Grado en Ingeniería de Diseño Industrial y Desarrollo del Producto;Pública / Propio;10.09;11.3;60;240;39,53 €
Universidad Pública de Navarra;Grado en Ciencia de Datos;Pública / Propio;10.08;9.87;25;240;23,05 €
Universidad de Barcelona;Grado en Comunicación Audiovisual;Pública / Propio;10.08;10.34;50;240;35,77 €
Universidad Pablo de Olavide;Grado en Relaciones Internacionales;Pública / Propio;10.08;-;70;240;12,62 €
Universidad de Vigo;Grado en Enfermería;Pública / Adscrito;10.08;10.6;50;240;
Universidad Complutense de Madrid;Grado en Traducción e Interpretación;Pública / Propio;10.08;11.65;60;240;21,39 €
Universidad de Málaga;Grado en Ingeniería del Software;Pública / Propio;10.07;11.06;75;240;12,62 €
Universidad de Salamanca;Grado en Matemáticas;Pública / Propio;10.07;11.6;35;240;14,05 €
Universidad de Alcalá;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;10.06;10.52;90;240;26,14 €
Universidad de Valladolid;Grado en Enfermería;Pública / Propio;-;-;-;240;21,01 €
Universidad de Almería;Grado en Biotecnología;Pública / Propio;10.06;11.39;71;240;12,62 €
Universidad de Murcia;Grado en Química;Pública / Propio;10.05;11.1;70;240;16,78 €
Universidad Complutense de Madrid;Grado en Ingeniería Informática;Pública / Propio;10.04;10.37;115;240;24,55 €
Universidad de Zaragoza;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;10.04;10.48;70;240;23,39 €
Universidad de Salamanca;Grado en Física;Pública / Propio;10.04;11.61;55;240;14,05 €
Universidad Pompeu Fabra;Grado en Periodismo;Pública / Propio;10.04;12.22;80;240;35,77 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Farmacia;Pública / Propio;10.03;10.79;125;300;19,84 €
Universidad Autónoma de Madrid;Grado en Nutrición Humana y Dietética;Pública / Propio;10.02;10.45;60;240;26,14 €
Universitat Politècnica de València;Grado en Administración y Dirección de Empresas;Pública / Propio;10.01;10.87;155;240;14,96 €
Universidad Rey Juan Carlos;Grado en Diseño y Desarrollo de Videojuegos;Pública / Propio;10.01;10.42;45;240;24,55 €
Universidad Complutense de Madrid;Grado en Ingeniería Química;Pública / Propio;10.01;10.62;82;240;24,55 €
Universidad Rey Juan Carlos;Grado en Criminología;Pública / Propio;10;10.3;35;240;24,55 €
Universitat de València (Estudi General);Grado en Criminología;Pública / Propio;10;10.35;100;240;14,96 €
Universitat Politècnica de València;Grado en Ingeniería Mecánica;Pública / Propio;10;11.31;150;240;20,27 €
Universidad de Málaga;Grado en Criminología;Pública / Propio;9.99;10.82;110;240;12,62 €
Universidad Carlos III de Madrid;Grado en Historia y Política/Bachelor in History and Politics;Pública / Propio;9.99;10.42;35;240;21,39 €
Universidad Pública de Navarra;Grado en Enfermería;Pública / Propio;9.97;11.09;100;240;23,05 €
Universidad de La Laguna;Grado en Diseño;Pública / Propio;9.96;10.55;50;240;12,63 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Derecho;Pública / Propio;9.95;11.4;90;240;14,08 €
Universidad de Alicante;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;9.95;n/d;100;240;16,41 €
Universidad de Castilla- La Mancha;Grado en Enfermería;Pública / Propio;9.95;10.63;125;240;18,87 €
Universidad de Zaragoza;Grado en Enfermería;Pública / Adscrito;9.94;10.74;33;240;
Universidad Autónoma de Barcelona;Grado en Fisioterapia;Pública / Propio;9.94;10.63;80;240;39,53 €
Universidad de Alcalá;Grado en Biología;Pública / Propio;9.94;10.45;100;240;26,14 €
Universidad de León;Grado en Enfermería;Pública / Propio;9.94;-;50;240;21,01 €
Universidad de Valladolid;Grado en Enfermería;Pública / Adscrito;9.93;9.95;100;240;
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Comunicación Audiovisual;Pública / Propio;9.93;10.81;75;240;14,39 €
Universidad de Extremadura;Grado en Psicología;Pública / Propio;9.92;11.2;70;240;12,33 €
Universidad de Extremadura;Grado en Matemáticas;Pública / Propio;9.91;10.73;50;240;15,70 €
Universidad de Granada;Grado en Comunicación Audiovisual;Pública / Propio;9.91;11.2;65;240;12,62 €
Universidad Autónoma de Madrid;Grado en Gestión Aeronáutica;Pública / Propio;9.89;10.71;60;240;24,55 €
Universidad de Alicante;Grado en Biología;Pública / Propio;9.89;10.2;160;240;20,27 €
Universidad Autónoma de Madrid;Grado en Psicología;Pública / Propio;9.89;10.72;350;240;21,39 €
Universidad de Sevilla;Grado en Ingeniería de Tecnologías Industriales;Pública / Propio;9.88;11.61;260;240;12,62 €
Universidad Politécnica de Catalunya;Grado en Ingeniería en Vehículos Aeroespaciales;Pública / Propio;9.87;12.18;60;240;39,53 €
Universidad de Alicante;Grado en Química;Pública / Propio;9.87;10.33;60;240;20,27 €
Universidad de Sevilla;Grado en Podología;Pública / Propio;9.87;10.56;70;240;12,62 €
Universidad Pablo de Olavide;Grado en Criminología;Pública / Propio;9.86;10.59;60;240;12,62 €
Universidad de Santiago de Compostela;Grado en Biología;Pública / Propio;9.85;10.92;100;240;13,93 €
Universidad Rey Juan Carlos;Grado en Ingeniería de Robótica Software;Pública / Propio;9.85;10.31;40;240;24,55 €
Universidad de Sevilla;Grado en Ingeniería de la Salud;Pública / Propio;9.83;n/d;65;240;12,62 €
Universidad Complutense de Madrid;Grado en Bellas Artes;Pública / Propio;9.82;10.38;250;240;21,39 €
Universidad de Barcelona;Grado en Nutrición Humana y Dietética;Pública / Propio;9.82;10.41;60;240;35,77 €
Universitat Politècnica de València;Grado en Ingeniería de Organización Industrial;Pública / Propio;9.82;11.22;80;240;20,27 €
Universidad de Murcia;Grado en Criminología;Pública / Propio;9.82;10.46;55;240;14,38 €
Universidad Rey Juan Carlos;Grado en Biología;Pública / Propio;9.82;9.6;75;240;26,14 €
Universitat Politècnica de València;Grado en Comunicación Audiovisual;Pública / Propio;9.81;10.55;80;240;14,96 €
Universidad de Vigo;Grado en Enfermería;Pública / Adscrito;9.81;10.42;50;240;
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Ingeniería Informática de Gestión y Sistemas de Información;Pública / Propio;9.81;10.69;70;240;19,19 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Nutrición Humana y Dietética;Pública / Propio;9.81;10.23;50;240;19,84 €
Universidad Rey Juan Carlos;Grado en Traducción e Interpretación;Pública / Propio;9.79;10.57;40;240;21,39 €
Universidad de Murcia;Grado en Enfermería;Pública / Adscrito;9.79;10.19;55;240;
Universidad de Zaragoza;Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto;Pública / Propio;9.77;10.86;75;240;21,66 €
Universidad de Barcelona;Grado en Cinematografía;Pública / Adscrito;9.76;10.48;100;180;
Universidad de Extremadura;Grado en Enfermería;Pública / Propio;9.76;10.27;95;240;18,51 €
Universidad de Sevilla;Grado en Enfermería;Pública / Adscrito;9.75;9.64;80;240;
Universidad de Huelva;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;9.75;10.35;65;240;12,62 €
Universidad de Santiago de Compostela;Grado en Enfermería;Pública / Adscrito;9.74;10.11;68;240;
Universidad de Las Palmas de Gran Canaria;Grado en Enfermería;Pública / Propio;9.72;10.39;50;240;14,59 €
Universidad de Alicante;Grado en Ciencias del Mar;Pública / Propio;9.71;10.05;50;240;20,27 €
Universidad Carlos III de Madrid;Grado en Ciencias Políticas/Bachelor in Political Science;Pública / Propio;9.7;10.56;40;240;21,39 €
